Country name,year,Ladder score,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Regional indicator
Portugal,2022,5.953,10.484,0.862,71.375,0.903,-0.139,0.893,Western Europe
Portugal,2023,5.954,10.504,0.895,71.5,0.847,-0.176,0.889,Western Europe
Romania,2022,6.437,10.396,0.83,67.175,0.836,-0.173,0.941,Central and Eastern Europe
Romania,2023,6.489,10.431,0.826,67.3,0.849,-0.202,0.905,Central and Eastern Europe
Russia,2022,6.044,10.225,0.92,65.325,0.776,-0.074,0.767,Commonwealth of Independent States
Russia,2023,5.865,10.209,0.854,65.7,0.75,0.056,0.733,Commonwealth of Independent States
Saudi Arabia,2022,6.382,10.82,0.9,64.6,0.6857000000000001,-0.032,0.7710869565217391,Middle East and North Africa
Saudi Arabia,2023,6.953,10.829,0.884,64.8,0.6857000000000001,0.028,0.7710869565217391,Middle East and North Africa
Senegal,2022,4.907,8.179,0.609,60.3,0.758,0.049,0.854,Sub-Saharan Africa
Senegal,2023,5.093,8.2,0.668,60.6,0.798,0.048,0.836,Sub-Saharan Africa
Serbia,2022,6.546,9.928,0.896,67.275,0.782,0.074,0.801,Central and Eastern Europe
Serbia,2023,6.441,9.961,0.895,67.4,0.807,0.085,0.782,Central and Eastern Europe
Sierra Leone,2022,2.56,7.4,0.502,55.3,0.66,0.097,0.862,Sub-Saharan Africa
Sierra Leone,2023,3.467,7.412,0.601,56.1,0.694,0.101,0.866,Sub-Saharan Africa
Singapore,2022,6.333,11.59,0.852,73.9,0.873,0.088,0.7392941176470588,Southeast Asia
Singapore,2023,6.654,9.35435294117647,0.916,74.0,0.861,0.18929411764705883,0.153,Southeast Asia
Slovakia,2022,6.091,10.409,0.961,69.175,0.732,-0.129,0.841,Central and Eastern Europe
Slovakia,2023,6.261,10.425,0.941,69.4,0.753,-0.136,0.825,Central and Eastern Europe
Slovenia,2022,6.723,10.65,0.942,71.225,0.93,0.099,0.762,Central and Eastern Europe
Slovenia,2023,6.746,10.664,0.911,71.4,0.931,0.031,0.75,Central and Eastern Europe
South Africa,2022,5.581,9.508,0.887,57.775,0.713,-0.071,0.908,Sub-Saharan Africa
South Africa,2023,5.076,9.503,0.839,58.3,0.748,-0.109,0.861,Sub-Saharan Africa
South Korea,2022,5.95,10.725,0.81,73.925,0.723,0.002,0.747,East Asia
South Korea,2023,6.112,10.742,0.799,74.2,0.762,-0.004,0.714,East Asia
Spain,2022,6.337,10.592,0.934,72.475,0.781,-0.001,0.673,Western Europe
Spain,2023,6.456,10.609,0.912,72.6,0.779,-0.004,0.675,Western Europe
Sri Lanka,2022,3.985,9.409,0.825,67.3,0.74,0.038,0.9,South Asia
Sri Lanka,2023,3.602,9.364,0.79,67.4,0.754,0.05,0.922,South Asia
Palestinian Territories,2022,4.908,9.935666666666668,0.86,66.13833333333334,0.695,-0.029703703703703704,0.836,Middle East and North Africa
Palestinian Territories,2023,4.851,9.935666666666668,0.831,66.13833333333334,0.708,-0.029703703703703704,0.808,Middle East and North Africa
Sweden,2022,7.431,10.912,0.949,72.275,0.939,0.232,0.213,Western Europe
Sweden,2023,7.161,10.902,0.927,72.4,0.926,0.147,0.253,Western Europe
Switzerland,2022,6.884,11.17,0.881,73.1,0.848,0.128,0.235,Western Europe
Switzerland,2023,6.969,11.169,0.904,73.3,0.891,0.104,0.247,Western Europe
Taiwan Province of China,2022,6.607,10.303125,0.883,69.64285714285714,0.8,-0.0027499999999999955,0.658,East Asia
Taiwan Province of China,2023,6.655,10.303125,0.872,69.64285714285714,0.795,-0.0027499999999999955,0.641,East Asia
Tajikistan,2022,5.176,8.328,0.865,62.45,0.8498333333333332,-0.003,0.397,Commonwealth of Independent States
